,Name,Skeleton 006:sternum 2,Skeleton 006:sternum 2.1,Skeleton 006:sternum 2.2,Skeleton 006:sternum 1,Skeleton 006:sternum 1.1,Skeleton 006:sternum 1.2,Skeleton 006:shoulder,Skeleton 006:shoulder.1,Skeleton 006:shoulder.2,Skeleton 006:elbow,Skeleton 006:elbow.1,Skeleton 006:elbow.2,Skeleton 006:humerus,Skeleton 006:humerus.1,Skeleton 006:humerus.2,Skeleton 006:forearm,Skeleton 006:forearm.1,Skeleton 006:forearm.2,Skeleton 006:wrist,Skeleton 006:wrist.1,Skeleton 006:wrist.2,Skeleton 006:ulnar,Skeleton 006:ulnar.1,Skeleton 006:ulnar.2,Skeleton 006:radial,Skeleton 006:radial.1,Skeleton 006:radial.2
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID,8,8,8,9,9,9,15,15,15,16,16,16,17,17,17,1A,1A,1A,1B,1B,1B,19,19,19,18,18,18
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,1.055712,0.791975,0.263400,1.140130,0.764541,0.319802,1.112939,0.892799,0.089625,1.319135,0.995888,0.009085,1.207285,0.960317,0.065230,1.240730,0.933717,0.039036,1.191018,1.009233,0.117972,1.240913,1.020896,0.118568,1.164508,1.053063,0.111743
1,0.008333,1.055726,0.791997,0.263413,1.140138,0.764574,0.319828,1.112957,0.892806,0.089624,1.319154,0.995892,0.009088,1.207301,0.960325,0.065229,1.240750,0.933714,0.039043,1.191023,1.009236,0.117965,1.240916,1.020905,0.118562,1.164508,1.053062,0.111728
2,0.016667,1.055736,0.792014,0.263414,1.140153,0.764581,0.319816,1.112953,0.892808,0.089616,1.319155,0.995866,0.009057,1.207302,0.960316,0.065210,1.240742,0.933694,0.039019,1.191024,1.009223,0.117936,1.240917,1.020893,0.118537,1.164508,1.053047,0.111695
3,0.025000,1.055743,0.792029,0.263397,1.140162,0.764598,0.319799,1.112957,0.892825,0.089597,1.319168,0.995888,0.009061,1.207310,0.960335,0.065203,1.240755,0.933715,0.039015,1.191027,1.009243,0.117933,1.240923,1.020904,0.118535,1.164520,1.053073,0.111693
4,0.033333,1.055752,0.792033,0.263425,1.140171,0.764598,0.319824,1.112961,0.892821,0.089614,1.319165,0.995875,0.009057,1.207312,0.960328,0.065210,1.240752,0.933704,0.039018,1.191029,1.009236,0.117933,1.240924,1.020901,0.118535,1.164519,1.053064,0.111691
5,0.041667,1.055758,0.792049,0.263431,1.140175,0.764614,0.319833,1.112969,0.892821,0.089613,1.319175,0.995872,0.009066,1.207318,0.960328,0.065215,1.240757,0.933701,0.039025,1.191021,1.009240,0.117926,1.240915,1.020906,0.118528,1.164509,1.053065,0.111676
6,0.050000,1.055771,0.792064,0.263397,1.140189,0.764629,0.319797,1.112986,0.892834,0.089588,1.319195,0.995899,0.009084,1.207331,0.960348,0.065215,1.240775,0.933718,0.039027,1.191020,1.009247,0.117935,1.240915,1.020913,0.118525,1.164507,1.053072,0.111692
7,0.058333,1.055768,0.792094,0.263424,1.140187,0.764649,0.319817,1.112982,0.892845,0.089606,1.319193,0.995869,0.009061,1.207332,0.960341,0.065211,1.240767,0.933700,0.039022,1.191037,1.009239,0.117927,1.240931,1.020906,0.118522,1.164524,1.053065,0.111681
8,0.066667,1.055778,0.792120,0.263432,1.140194,0.764673,0.319829,1.113000,0.892848,0.089608,1.319198,0.995874,0.009066,1.207335,0.960348,0.065215,1.240775,0.933701,0.039033,1.191042,1.009242,0.117935,1.240937,1.020907,0.118534,1.164532,1.053068,0.111687
9,0.075000,1.055785,0.792105,0.263402,1.140197,0.764658,0.319805,1.113017,0.892854,0.089586,1.319231,0.995889,0.009073,1.207364,0.960356,0.065209,1.240803,0.933700,0.039023,1.191053,1.009224,0.117934,1.240946,1.020895,0.118529,1.164536,1.053048,0.111693
10,0.083333,1.055798,0.792115,0.263418,1.140208,0.764670,0.319825,1.113033,0.892850,0.089593,1.319232,0.995898,0.009080,1.207367,0.960360,0.065217,1.240808,0.933706,0.039033,1.191052,1.009232,0.117941,1.240944,1.020906,0.118529,1.164531,1.053053,0.111699
11,0.091667,1.055814,0.792137,0.263410,1.140221,0.764694,0.319823,1.113054,0.892862,0.089582,1.319252,0.995907,0.009075,1.207384,0.960373,0.065208,1.240829,0.933704,0.039030,1.191060,1.009225,0.117937,1.240953,1.020895,0.118532,1.164544,1.053049,0.111694
12,0.100000,1.055813,0.792126,0.263419,1.140219,0.764683,0.319832,1.113053,0.892854,0.089589,1.319258,0.995894,0.009078,1.207390,0.960361,0.065213,1.240831,0.933697,0.039031,1.191064,1.009224,0.117931,1.240956,1.020900,0.118525,1.164544,1.053045,0.111684
13,0.108333,1.055824,0.792140,0.263402,1.140227,0.764707,0.319825,1.113068,0.892863,0.089566,1.319280,0.995904,0.009065,1.207408,0.960372,0.065193,1.240853,0.933693,0.039018,1.191072,1.009212,0.117921,1.240965,1.020885,0.118515,1.164553,1.053034,0.111675
14,0.116667,1.055823,0.792112,0.263383,1.140230,0.764678,0.319801,1.113069,0.892850,0.089569,1.319275,0.995911,0.009084,1.207404,0.960366,0.065204,1.240849,0.933704,0.039025,1.191061,1.009223,0.117925,1.240953,1.020896,0.118519,1.164542,1.053044,0.111678
15,0.125000,1.055841,0.792103,0.263359,1.140246,0.764673,0.319781,1.113085,0.892871,0.089553,1.319304,0.995937,0.009069,1.207433,0.960386,0.065187,1.240876,0.933710,0.039002,1.191072,1.009210,0.117917,1.240965,1.020882,0.118508,1.164554,1.053033,0.111679
16,0.133333,1.055843,0.792133,0.263353,1.140254,0.764697,0.319765,1.113086,0.892870,0.089546,1.319291,0.995938,0.009080,1.207417,0.960389,0.065191,1.240865,0.933716,0.039013,1.191063,1.009220,0.117926,1.240957,1.020885,0.118523,1.164551,1.053047,0.111686
17,0.141667,1.055868,0.792139,0.263352,1.140275,0.764709,0.319771,1.113109,0.892880,0.089534,1.319321,0.995958,0.009082,1.207447,0.960404,0.065189,1.240890,0.933716,0.039005,1.191062,1.009208,0.117916,1.240952,1.020890,0.118500,1.164534,1.053026,0.111678
18,0.150000,1.055896,0.792157,0.263359,1.140303,0.764734,0.319781,1.113131,0.892884,0.089529,1.319336,0.995968,0.009081,1.207460,0.960413,0.065184,1.240908,0.933712,0.039008,1.191061,1.009202,0.117915,1.240953,1.020879,0.118505,1.164539,1.053023,0.111675
19,0.158333,1.055920,0.792171,0.263392,1.140329,0.764751,0.319814,1.113132,0.892882,0.089530,1.319350,0.995957,0.009086,1.207472,0.960409,0.065189,1.240919,0.933697,0.039015,1.191064,1.009189,0.117911,1.240953,1.020877,0.118504,1.164533,1.053003,0.111663
20,0.166667,1.055933,0.792188,0.263382,1.140342,0.764766,0.319802,1.113147,0.892886,0.089520,1.319369,0.995969,0.009119,1.207483,0.960418,0.065205,1.240931,0.933708,0.039031,1.191048,1.009205,0.117918,1.240938,1.020889,0.118495,1.164519,1.053020,0.111668
21,0.175000,1.055942,0.792177,0.263388,1.140353,0.764760,0.319807,1.113147,0.892880,0.089522,1.319360,0.995973,0.009105,1.207480,0.960416,0.065199,1.240926,0.933700,0.039021,1.191038,1.009189,0.117914,1.240928,1.020876,0.118487,1.164505,1.053002,0.111668
22,0.183333,1.055956,0.792188,0.263381,1.140369,0.764780,0.319802,1.113156,0.892876,0.089510,1.319377,0.995959,0.009098,1.207491,0.960410,0.065187,1.240939,0.933684,0.039015,1.191039,1.009179,0.117889,1.240927,1.020872,0.118478,1.164503,1.052989,0.111632
23,0.191667,1.055965,0.792210,0.263378,1.140382,0.764807,0.319795,1.113152,0.892881,0.089501,1.319365,0.995973,0.009106,1.207477,0.960421,0.065187,1.240933,0.933692,0.039025,1.191024,1.009187,0.117902,1.240915,1.020871,0.118486,1.164496,1.053001,0.111647
24,0.200000,1.055968,0.792252,0.263349,1.140383,0.764848,0.319768,1.113170,0.892900,0.089481,1.319379,0.995992,0.009115,1.207484,0.960444,0.065184,1.240942,0.933703,0.039028,1.191015,1.009196,0.117904,1.240906,1.020878,0.118476,1.164486,1.053010,0.111650
25,0.208333,1.055963,0.792251,0.263330,1.140375,0.764847,0.319754,1.113176,0.892903,0.089472,1.319401,0.995993,0.009138,1.207497,0.960446,0.065191,1.240954,0.933697,0.039034,1.191001,1.009189,0.117896,1.240890,1.020877,0.118476,1.164468,1.053000,0.111634
26,0.216667,1.055965,0.792265,0.263345,1.140381,0.764864,0.319764,1.113165,0.892900,0.089476,1.319387,0.995985,0.009143,1.207482,0.960443,0.065196,1.240943,0.933696,0.039046,1.190997,1.009196,0.117902,1.240886,1.020885,0.118482,1.164464,1.053006,0.111636
27,0.225000,1.055962,0.792293,0.263351,1.140377,0.764891,0.319771,1.113162,0.892914,0.089480,1.319375,0.995999,0.009149,1.207469,0.960459,0.065201,1.240935,0.933703,0.039060,1.190991,1.009199,0.117919,1.240880,1.020888,0.118505,1.164459,1.053010,0.111655
28,0.233333,1.055966,0.792290,0.263362,1.140378,0.764890,0.319789,1.113171,0.892914,0.089487,1.319395,0.995996,0.009164,1.207485,0.960458,0.065211,1.240950,0.933699,0.039069,1.190999,1.009195,0.117919,1.240886,1.020892,0.118510,1.164460,1.053001,0.111649
29,0.241667,1.055965,0.792284,0.263371,1.140374,0.764878,0.319798,1.113178,0.892911,0.089501,1.319382,0.996007,0.009168,1.207479,0.960461,0.065223,1.240944,0.933706,0.039078,1.191001,1.009194,0.117943,1.240888,1.020890,0.118523,1.164461,1.053001,0.111683
30,0.250000,1.056007,0.792434,0.263225,1.140430,0.765034,0.319634,1.113258,0.892962,0.089433,1.319422,0.996044,0.009164,1.207494,0.960518,0.065184,1.240983,0.933709,0.039079,1.191020,1.009179,0.117954,1.240908,1.020869,0.118545,1.164486,1.052990,0.111701
31,0.258333,1.055975,0.792271,0.263426,1.140379,0.764863,0.319860,1.113188,0.892907,0.089536,1.319385,0.996014,0.009186,1.207489,0.960461,0.065251,1.240954,0.933708,0.039104,1.191024,1.009188,0.117976,1.240909,1.020895,0.118562,1.164476,1.052990,0.111719
32,0.266667,1.055987,0.792294,0.263458,1.140385,0.764885,0.319902,1.113204,0.892911,0.089548,1.319401,0.996005,0.009185,1.207504,0.960462,0.065255,1.240968,0.933692,0.039111,1.191032,1.009173,0.117975,1.240916,1.020882,0.118572,1.164483,1.052974,0.111712
33,0.275000,1.055992,0.792317,0.263484,1.140387,0.764904,0.319928,1.113216,0.892917,0.089566,1.319394,0.996020,0.009204,1.207500,0.960474,0.065276,1.240969,0.933703,0.039137,1.191040,1.009179,0.118009,1.240924,1.020890,0.118602,1.164489,1.052979,0.111752
34,0.283333,1.056002,0.792334,0.263482,1.140396,0.764924,0.319930,1.113223,0.892928,0.089552,1.319403,0.996040,0.009204,1.207506,0.960490,0.065270,1.240978,0.933712,0.039134,1.191036,1.009182,0.118007,1.240920,1.020894,0.118602,1.164484,1.052982,0.111749
35,0.291667,1.056010,0.792336,0.263521,1.140401,0.764929,0.319975,1.113229,0.892913,0.089571,1.319397,0.996026,0.009202,1.207504,0.960478,0.065277,1.240978,0.933705,0.039146,1.191047,1.009187,0.118003,1.240929,1.020905,0.118611,1.164491,1.052984,0.111736
36,0.300000,1.056015,0.792353,0.263505,1.140400,0.764949,0.319969,1.113250,0.892924,0.089557,1.319413,0.996049,0.009206,1.207518,0.960495,0.065272,1.240994,0.933711,0.039142,1.191041,1.009180,0.118008,1.240923,1.020896,0.118607,1.164486,1.052978,0.111746
37,0.308333,1.056011,0.792373,0.263495,1.140396,0.764966,0.319958,1.113253,0.892932,0.089552,1.319415,0.996056,0.009217,1.207517,0.960504,0.065278,1.240994,0.933709,0.039150,1.191032,1.009173,0.118023,1.240915,1.020889,0.118608,1.164475,1.052970,0.111767
38,0.316667,1.056008,0.792404,0.263517,1.140392,0.765001,0.319985,1.113251,0.892942,0.089561,1.319408,0.996057,0.009213,1.207509,0.960513,0.065279,1.240990,0.933710,0.039160,1.191032,1.009179,0.118037,1.240919,1.020881,0.118615,1.164488,1.052984,0.111784
39,0.325000,1.056006,0.792420,0.263529,1.140387,0.765019,0.320001,1.113258,0.892935,0.089568,1.319396,0.996046,0.009189,1.207502,0.960506,0.065268,1.240984,0.933700,0.039153,1.191036,1.009177,0.118024,1.240922,1.020878,0.118610,1.164492,1.052981,0.111766
40,0.333333,1.055997,0.792444,0.263546,1.140373,0.765042,0.320024,1.113258,0.892933,0.089572,1.319406,0.996021,0.009197,1.207507,0.960496,0.065274,1.240990,0.933680,0.039166,1.191046,1.009162,0.118034,1.240933,1.020862,0.118616,1.164504,1.052968,0.111776
41,0.341667,1.056012,0.792468,0.263570,1.140387,0.765073,0.320053,1.113260,0.892940,0.089569,1.319411,0.996038,0.009218,1.207508,0.960511,0.065286,1.240999,0.933687,0.039188,1.191045,1.009167,0.118058,1.240930,1.020873,0.118625,1.164495,1.052968,0.111803
42,0.350000,1.056008,0.792478,0.263594,1.140382,0.765079,0.320077,1.113263,0.892937,0.089594,1.319417,0.996007,0.009221,1.207515,0.960495,0.065300,1.240997,0.933663,0.039197,1.191050,1.009152,0.118060,1.240934,1.020864,0.118620,1.164495,1.052950,0.111801
43,0.358333,1.056013,0.792517,0.263613,1.140385,0.765119,0.320100,1.113273,0.892947,0.089595,1.319411,0.996024,0.009225,1.207508,0.960513,0.065305,1.240999,0.933676,0.039212,1.191055,1.009165,0.118081,1.240940,1.020872,0.118636,1.164504,1.052966,0.111825
44,0.366667,1.056024,0.792540,0.263619,1.140390,0.765148,0.320117,1.113293,0.892948,0.089592,1.319414,0.996034,0.009215,1.207514,0.960521,0.065298,1.241009,0.933671,0.039213,1.191059,1.009156,0.118091,1.240946,1.020857,0.118634,1.164511,1.052959,0.111841
45,0.375000,1.056025,0.792566,0.263622,1.140391,0.765162,0.320114,1.113300,0.892955,0.089594,1.319422,0.996012,0.009202,1.207520,0.960516,0.065293,1.241012,0.933652,0.039210,1.191078,1.009138,0.118093,1.240965,1.020838,0.118635,1.164530,1.052942,0.111847
46,0.383333,1.056039,0.792574,0.263631,1.140408,0.765172,0.320121,1.113306,0.892960,0.089600,1.319432,0.996008,0.009203,1.207529,0.960517,0.065294,1.241022,0.933646,0.039215,1.191089,1.009130,0.118093,1.240975,1.020831,0.118651,1.164542,1.052934,0.111842
47,0.391667,1.056053,0.792611,0.263648,1.140425,0.765194,0.320126,1.113319,0.892966,0.089609,1.319421,0.996005,0.009194,1.207523,0.960522,0.065299,1.241011,0.933645,0.039217,1.191091,1.009131,0.118106,1.240979,1.020828,0.118648,1.164546,1.052937,0.111863
48,0.400000,1.056050,0.792599,0.263632,1.140422,0.765186,0.320111,1.113317,0.892962,0.089604,1.319433,0.995994,0.009198,1.207530,0.960514,0.065295,1.241021,0.933636,0.039217,1.191101,1.009122,0.118101,1.240988,1.020821,0.118656,1.164556,1.052927,0.111854
49,0.408333,1.056052,0.792586,0.263636,1.140424,0.765165,0.320111,1.113323,0.892959,0.089614,1.319425,0.996001,0.009200,1.207528,0.960514,0.065305,1.241017,0.933640,0.039220,1.191103,1.009118,0.118127,1.240993,1.020805,0.118661,1.164566,1.052931,0.111894
